image_path,label_path,base_name,split,width,height,n_objects,n_cars,n_pedestrians,n_cyclists,n_trucks,class_counts_str
data/images/train/000000.png,data/labels/000000.txt,000000,train,1224,370,1,0,1,0,0,{'Pedestrian': 1}
data/images/train/000001.png,data/labels/000001.txt,000001,train,1242,375,3,1,0,1,1,"{'Truck': 1, 'Car': 1, 'Cyclist': 1}"
data/images/train/000002.png,data/labels/000002.txt,000002,train,1242,375,2,1,0,0,0,"{'Misc': 1, 'Car': 1}"
data/images/train/000003.png,data/labels/000003.txt,000003,train,1242,375,1,1,0,0,0,{'Car': 1}
data/images/train/000004.png,data/labels/000004.txt,000004,train,1242,375,2,2,0,0,0,{'Car': 2}
data/images/train/000005.png,data/labels/000005.txt,000005,train,1242,375,1,0,1,0,0,{'Pedestrian': 1}
data/images/train/000006.png,data/labels/000006.txt,000006,train,1238,374,4,4,0,0,0,{'Car': 4}
data/images/train/000007.png,data/labels/000007.txt,000007,train,1242,375,4,3,0,1,0,"{'Car': 3, 'Cyclist': 1}"
data/images/train/000008.png,data/labels/000008.txt,000008,train,1242,375,6,6,0,0,0,{'Car': 6}
data/images/train/000009.png,data/labels/000009.txt,000009,train,1242,375,3,3,0,0,0,{'Car': 3}
data/images/train/000010.png,data/labels/000010.txt,000010,train,1242,375,9,8,1,0,0,"{'Car': 8, 'Pedestrian': 1}"
data/images/train/000011.png,data/labels/000011.txt,000011,train,1242,375,6,2,4,0,0,"{'Pedestrian': 4, 'Car': 2}"
data/images/train/000012.png,data/labels/000012.txt,000012,train,1242,375,2,1,0,0,1,"{'Car': 1, 'Van': 1}"
data/images/train/000013.png,data/labels/000013.txt,000013,train,1242,375,1,1,0,0,0,{'Car': 1}
data/images/train/000014.png,data/labels/000014.txt,000014,train,1242,375,1,1,0,0,0,{'Car': 1}
data/images/train/000015.png,data/labels/000015.txt,000015,train,1238,374,5,1,4,0,0,"{'Car': 1, 'Pedestrian': 4}"
data/images/train/000016.png,data/labels/000016.txt,000016,train,1242,375,6,4,0,0,1,"{'Car': 4, 'Truck': 1, 'Tram': 1}"
data/images/train/000017.png,data/labels/000017.txt,000017,train,1242,375,1,1,0,0,0,{'Car': 1}
data/images/train/000018.png,data/labels/000018.txt,000018,train,1242,375,3,1,0,0,1,"{'Car': 1, 'Van': 1, 'Tram': 1}"
data/images/train/000019.png,data/labels/000019.txt,000019,train,1242,375,4,2,0,0,2,"{'Truck': 1, 'Car': 2, 'Van': 1}"
data/images/train/000020.png,data/labels/000020.txt,000020,train,1242,375,1,1,0,0,0,{'Car': 1}
data/images/train/000021.png,data/labels/000021.txt,000021,train,1242,375,8,6,0,1,1,"{'Cyclist': 1, 'Car': 6, 'Van': 1}"
data/images/train/000022.png,data/labels/000022.txt,000022,train,1242,375,2,2,0,0,0,{'Car': 2}
data/images/train/000023.png,data/labels/000023.txt,000023,train,1242,375,3,1,0,1,1,"{'Truck': 1, 'Car': 1, 'Cyclist': 1}"
data/images/train/000024.png,data/labels/000024.txt,000024,train,1241,376,3,3,0,0,0,{'Car': 3}
data/images/train/000025.png,data/labels/000025.txt,000025,train,1242,375,6,5,0,1,0,"{'Car': 5, 'Cyclist': 1}"
data/images/train/000026.png,data/labels/000026.txt,000026,train,1242,375,2,1,0,0,1,"{'Truck': 1, 'Car': 1}"
data/images/train/000027.png,data/labels/000027.txt,000027,train,1242,375,2,1,0,0,1,"{'Van': 1, 'Car': 1}"
data/images/train/000028.png,data/labels/000028.txt,000028,train,1224,370,1,0,1,0,0,{'Pedestrian': 1}
data/images/train/000029.png,data/labels/000029.txt,000029,train,1242,375,2,1,0,0,0,"{'Misc': 1, 'Car': 1}"
data/images/train/000030.png,data/labels/000030.txt,000030,train,1242,375,1,1,0,0,0,{'Car': 1}
data/images/train/000031.png,data/labels/000031.txt,000031,train,1242,375,6,4,0,0,2,"{'Car': 4, 'Truck': 1, 'Van': 1}"
data/images/train/000032.png,data/labels/000032.txt,000032,train,1242,375,10,6,0,0,4,"{'Car': 6, 'Van': 4}"
data/images/train/000033.png,data/labels/000033.txt,000033,train,1242,375,2,2,0,0,0,{'Car': 2}
data/images/train/000034.png,data/labels/000034.txt,000034,train,1242,375,2,2,0,0,0,{'Car': 2}
data/images/train/000035.png,data/labels/000035.txt,000035,train,1242,375,5,3,1,1,0,"{'Car': 3, 'Cyclist': 1, 'Pedestrian': 1}"
data/images/train/000036.png,data/labels/000036.txt,000036,train,1242,375,7,7,0,0,0,{'Car': 7}
data/images/train/000037.png,data/labels/000037.txt,000037,train,1241,376,3,2,0,0,1,"{'Car': 2, 'Truck': 1}"
data/images/train/000038.png,data/labels/000038.txt,000038,train,1242,375,12,11,0,0,1,"{'Car': 11, 'Van': 1}"
data/images/train/000039.png,data/labels/000039.txt,000039,train,1242,375,6,6,0,0,0,{'Car': 6}
data/images/train/000040.png,data/labels/000040.txt,000040,train,1242,375,2,1,1,0,0,"{'Car': 1, 'Pedestrian': 1}"
data/images/train/000041.png,data/labels/000041.txt,000041,train,1242,375,1,1,0,0,0,{'Car': 1}
data/images/train/000042.png,data/labels/000042.txt,000042,train,1242,375,2,1,0,0,0,"{'Car': 1, 'Tram': 1}"
data/images/train/000043.png,data/labels/000043.txt,000043,train,1242,375,4,0,4,0,0,{'Pedestrian': 4}
data/images/train/000044.png,data/labels/000044.txt,000044,train,1242,375,2,2,0,0,0,{'Car': 2}
data/images/train/000045.png,data/labels/000045.txt,000045,train,1242,375,7,6,0,0,0,"{'Car': 6, 'Tram': 1}"
data/images/train/000046.png,data/labels/000046.txt,000046,train,1242,375,6,6,0,0,0,{'Car': 6}
data/images/train/000047.png,data/labels/000047.txt,000047,train,1241,376,9,8,0,0,1,"{'Car': 8, 'Van': 1}"
data/images/train/000048.png,data/labels/000048.txt,000048,train,1238,374,4,0,3,1,0,"{'Pedestrian': 3, 'Cyclist': 1}"
data/images/train/000049.png,data/labels/000049.txt,000049,train,1242,375,18,14,2,0,2,"{'Car': 14, 'Van': 2, 'Pedestrian': 2}"
data/images/train/000050.png,data/labels/000050.txt,000050,train,1242,375,5,4,0,0,1,"{'Car': 4, 'Van': 1}"
data/images/train/000051.png,data/labels/000051.txt,000051,train,1242,375,2,1,0,1,0,"{'Cyclist': 1, 'Car': 1}"
data/images/train/000052.png,data/labels/000052.txt,000052,train,1242,375,6,5,0,0,1,"{'Car': 5, 'Van': 1}"
data/images/train/000053.png,data/labels/000053.txt,000053,train,1242,375,7,6,0,0,1,"{'Van': 1, 'Car': 6}"
data/images/train/000054.png,data/labels/000054.txt,000054,train,1224,370,1,0,1,0,0,{'Pedestrian': 1}
data/images/train/000055.png,data/labels/000055.txt,000055,train,1242,375,5,4,0,0,1,"{'Truck': 1, 'Car': 4}"
data/images/train/000056.png,data/labels/000056.txt,000056,train,1242,375,1,1,0,0,0,{'Car': 1}
data/images/train/000057.png,data/labels/000057.txt,000057,train,1242,375,3,3,0,0,0,{'Car': 3}
data/images/train/000058.png,data/labels/000058.txt,000058,train,1224,370,1,0,1,0,0,{'Pedestrian': 1}
data/images/train/000059.png,data/labels/000059.txt,000059,train,1242,375,5,4,0,0,1,"{'Car': 4, 'Van': 1}"
data/images/train/000060.png,data/labels/000060.txt,000060,train,1242,375,4,2,0,1,1,"{'Van': 1, 'Car': 2, 'Cyclist': 1}"
data/images/train/000061.png,data/labels/000061.txt,000061,train,1242,375,6,3,0,0,2,"{'Van': 2, 'Car': 3, 'Misc': 1}"
data/images/train/000062.png,data/labels/000062.txt,000062,train,1242,375,5,4,0,1,0,"{'Car': 4, 'Cyclist': 1}"
data/images/train/000063.png,data/labels/000063.txt,000063,train,1242,375,4,2,1,0,1,"{'Car': 2, 'Pedestrian': 1, 'Van': 1}"
data/images/train/000064.png,data/labels/000064.txt,000064,train,1242,375,4,3,0,0,1,"{'Car': 3, 'Truck': 1}"
data/images/train/000065.png,data/labels/000065.txt,000065,train,1238,374,9,0,1,0,0,"{'Pedestrian': 1, 'Tram': 3, 'Person_sitting': 5}"
data/images/train/000066.png,data/labels/000066.txt,000066,train,1242,375,2,2,0,0,0,{'Car': 2}
