epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84349,1.83128,3.04282,1.3195,0.0114,0.55285,0.1226,0.05937,1.6324,3.17377,1.10651,0.00024293,0.00024293,0.00024293
2,8.93038,1.71592,1.79478,1.25094,0.01109,0.53252,0.12375,0.07079,1.44782,2.96828,1.06673,0.000483645,0.000483645,0.000483645
3,11.0158,1.64612,1.65047,1.24811,1,0.023,0.11273,0.06233,1.64249,2.98914,1.22103,0.000707384,0.000707384,0.000707384
4,13.0773,1.62103,1.56413,1.2115,0.8868,0.04472,0.09599,0.05624,1.65109,2.55422,1.23535,0.000914146,0.000914146,0.000914146
5,15.1703,1.60423,1.48451,1.22257,0.94889,0.06098,0.29711,0.13315,1.59628,2.31507,1.23296,0.00110393,0.00110393,0.00110393
6,17.484,1.57216,1.40292,1.19139,0.55665,0.5122,0.53918,0.18196,1.5682,1.46538,1.2004,0.00119322,0.00119322,0.00119322
7,19.5,1.58761,1.4011,1.20597,0.72139,0.31301,0.25812,0.12531,1.62756,1.46568,1.25325,0.00114606,0.00114606,0.00114606
8,21.4997,1.52237,1.32869,1.17399,0.92462,0.25542,0.36737,0.18557,1.60219,1.38124,1.2047,0.0010989,0.0010989,0.0010989
9,23.5703,1.47056,1.26706,1.15436,0.71266,0.30677,0.28259,0.13565,1.54627,1.22733,1.21835,0.00105174,0.00105174,0.00105174
10,25.5858,1.50304,1.26348,1.15735,0.21927,0.1748,0.19279,0.10419,1.70715,1.2776,1.29094,0.00100459,0.00100459,0.00100459
11,27.6384,1.47883,1.25659,1.15839,0.74803,0.30081,0.27289,0.15188,1.57572,1.14177,1.21695,0.00095743,0.00095743,0.00095743
12,29.715,1.38879,1.20805,1.12376,0.77307,0.34146,0.32368,0.15888,1.46743,1.0602,1.18195,0.000910273,0.000910273,0.000910273
13,31.7375,1.40535,1.17486,1.13203,0.94382,0.32114,0.39327,0.20694,1.55495,1.02563,1.26295,0.000863116,0.000863116,0.000863116
14,33.7849,1.36679,1.11997,1.10556,0.94498,0.30894,0.39649,0.20006,1.52743,1.08522,1.21579,0.000815959,0.000815959,0.000815959
15,35.7762,1.40577,1.15245,1.13474,0.87328,0.31409,0.3863,0.18399,1.47854,1.05675,1.21841,0.000768802,0.000768802,0.000768802
16,37.7752,1.35429,1.11239,1.10656,0.90088,0.3168,0.3929,0.20902,1.55162,1.01393,1.24743,0.000721645,0.000721645,0.000721645
17,39.8867,1.31978,1.02963,1.08187,0.80718,0.32429,0.41339,0.22218,1.475,0.97966,1.18477,0.000674488,0.000674488,0.000674488
18,42.0785,1.27895,1.01973,1.07352,0.91022,0.3252,0.40032,0.19635,1.43837,0.99517,1.17501,0.000627331,0.000627331,0.000627331
19,44.0856,1.24728,0.97755,1.06978,0.4616,0.41057,0.40964,0.16677,1.44677,0.95675,1.19392,0.000580174,0.000580174,0.000580174
20,46.1331,1.25882,0.99946,1.07089,0.69324,0.40244,0.40691,0.15379,1.46199,1.03057,1.1974,0.000533017,0.000533017,0.000533017
21,50.0759,1.33703,1.21764,1.08812,0.91439,0.20732,0.25264,0.13734,1.46754,1.06479,1.21661,0.00048586,0.00048586,0.00048586
22,52.874,1.27979,1.14367,1.08195,0.73887,0.34146,0.32073,0.17163,1.50743,1.0661,1.26521,0.000438703,0.000438703,0.000438703
23,54.9378,1.25183,1.06646,1.06442,0.93561,0.20377,0.25037,0.13874,1.42444,1.00017,1.1774,0.000391546,0.000391546,0.000391546
24,56.9548,1.20971,1.02812,1.04809,0.80224,0.32771,0.39432,0.23322,1.41618,0.9724,1.20872,0.000344389,0.000344389,0.000344389
25,58.994,1.17549,0.98829,1.04235,0.92236,0.29659,0.39661,0.19661,1.45368,1.01066,1.21485,0.000297232,0.000297232,0.000297232
26,61.0017,1.1495,0.97214,1.01531,0.91432,0.30971,0.37846,0.17665,1.42654,0.9939,1.20591,0.000250075,0.000250075,0.000250075
27,63.005,1.17145,0.97654,1.0266,0.92349,0.30838,0.39881,0.18799,1.44101,0.96421,1.19704,0.000202918,0.000202918,0.000202918
28,64.989,1.16213,0.96216,1.02166,0.91196,0.32114,0.39934,0.22136,1.3714,0.94107,1.18219,0.000155761,0.000155761,0.000155761
29,67.0342,1.11777,0.92924,1.00488,0.94121,0.31301,0.40049,0.18629,1.41902,0.94229,1.19184,0.000108604,0.000108604,0.000108604
30,69.3426,1.13545,0.92444,1.01895,0.95093,0.3078,0.39992,0.20265,1.40552,0.94774,1.18296,6.1447e-05,6.1447e-05,6.1447e-05
