epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.95025,1.64956,3.80909,1.18317,0.00964,0.47154,0.03633,0.02363,1.52449,3.54597,1.15248,5.716e-05,5.716e-05,5.716e-05
2,5.81576,1.60829,3.26832,1.19513,0.01451,0.57317,0.07322,0.04121,1.46235,3.49763,1.09246,0.000124366,0.000124366,0.000124366
3,6.67786,1.65756,2.41045,1.14168,0.01261,0.57317,0.11017,0.06561,1.52771,3.31571,1.06561,0.000186856,0.000186856,0.000186856
4,7.49138,1.44958,1.71345,1.07934,0.01226,0.57317,0.11602,0.06688,1.45437,3.1906,1.04909,0.000244631,0.000244631,0.000244631
5,8.32899,1.4591,1.58821,1.106,0.01137,0.54878,0.12683,0.0616,1.45376,3.18746,1.04652,0.000297689,0.000297689,0.000297689
6,9.30958,1.44452,1.59003,1.09478,0.01089,0.53252,0.11498,0.04598,1.41877,3.20521,1.069,0.000346032,0.000346032,0.000346032
7,10.1455,1.42242,1.48601,1.10419,0.01244,0.55285,0.12597,0.05095,1.45077,3.14172,1.08601,0.00038966,0.00038966,0.00038966
8,10.9048,1.31128,1.41803,1.10557,0.0126,0.55285,0.13554,0.06452,1.39962,3.15064,1.08659,0.000428571,0.000428571,0.000428571
9,11.7179,1.36132,1.34604,1.12833,0.01411,0.57724,0.43913,0.20688,1.40959,3.09809,1.11728,0.000462767,0.000462767,0.000462767
10,12.5694,1.30044,1.35988,1.0767,0.01368,0.57317,0.48324,0.2046,1.47385,2.98383,1.14624,0.000492248,0.000492248,0.000492248
11,13.4038,1.30561,1.46396,1.05034,0.01468,0.58537,0.50094,0.23747,1.47496,2.81581,1.1531,0.000517012,0.000517012,0.000517012
12,14.3108,1.25011,1.31143,1.03975,0.01571,0.93089,0.51416,0.2699,1.443,2.83813,1.11381,0.000537061,0.000537061,0.000537061
13,15.077,1.30904,1.29059,1.04226,0.01549,0.93089,0.56114,0.27052,1.50882,2.7863,1.12691,0.000552394,0.000552394,0.000552394
14,15.9476,1.31474,1.27237,1.05517,0.98682,0.09875,0.38663,0.17787,1.48127,2.47002,1.14077,0.000563012,0.000563012,0.000563012
15,16.6951,1.22678,1.22116,1.05061,0.98628,0.09476,0.30711,0.16009,1.50733,2.14327,1.17975,0.000568913,0.000568913,0.000568913
16,17.4227,1.19938,1.20624,1.04254,0.97498,0.09756,0.30052,0.14243,1.59566,2.09938,1.22973,0.0005701,0.0005701,0.0005701
17,18.1959,1.16366,1.12527,1.03085,0.9797,0.1254,0.31093,0.15262,1.48402,2.01876,1.15567,0.00056657,0.00056657,0.00056657
18,18.9302,1.20273,1.10828,1.02986,0.99062,0.14048,0.31302,0.14897,1.50766,1.96854,1.1736,0.000558325,0.000558325,0.000558325
19,19.664,1.21579,1.13103,1.01336,0.99073,0.14204,0.31831,0.15001,1.51346,1.95259,1.18731,0.000545364,0.000545364,0.000545364
20,20.4287,1.22597,1.15063,1.03565,0.98282,0.14962,0.40427,0.16981,1.53115,1.83265,1.18712,0.000527687,0.000527687,0.000527687
21,22.6532,1.19745,1.50749,1.01308,0.95675,0.1748,0.4091,0.18188,1.49939,1.66794,1.16884,0.00048586,0.00048586,0.00048586
22,23.7055,1.22683,1.41118,1.0282,0.97145,0.1736,0.40687,0.18732,1.52484,1.642,1.18962,0.000438703,0.000438703,0.000438703
23,24.5383,1.26465,1.42308,1.04804,0.97584,0.1561,0.40424,0.1841,1.5672,1.6948,1.23658,0.000391546,0.000391546,0.000391546
24,25.6699,1.21758,1.38888,1.04932,0.98397,0.16094,0.32902,0.18126,1.51169,1.70092,1.24485,0.000344389,0.000344389,0.000344389
25,26.4579,1.35688,1.48513,1.0949,0.9547,0.18293,0.33335,0.18237,1.53125,1.60319,1.25592,0.000297232,0.000297232,0.000297232
26,27.1876,1.1961,1.29821,1.05021,0.67596,0.26309,0.32903,0.17258,1.53516,1.47328,1.25295,0.000250075,0.000250075,0.000250075
27,27.9176,1.18539,1.29565,1.04202,0.69084,0.32426,0.34332,0.17264,1.5327,1.36905,1.24077,0.000202918,0.000202918,0.000202918
28,28.6752,1.1363,1.24881,1.01464,0.67445,0.39431,0.33892,0.18422,1.51066,1.22577,1.20815,0.000155761,0.000155761,0.000155761
29,29.4089,1.10216,1.19965,0.99486,0.65817,0.40035,0.34228,0.18417,1.48074,1.17034,1.19169,0.000108604,0.000108604,0.000108604
30,30.121,1.14733,1.20398,0.98876,0.66323,0.40244,0.34687,0.19637,1.46073,1.1249,1.18319,6.1447e-05,6.1447e-05,6.1447e-05
